"gene","EntrezSummary","GeneCardsSummary","UniProtKB_Summary","EnsemblGene","moderate1","moderate2","moderate3","moderate4","femModerate_mean","femHealthy_mean","femModHealthy_FoldChange"
"IGHA1","                                            IGHA1 (Immunoglobulin Heavy Constant Alpha 1) is a Protein Coding gene.                                                                                        Among its related pathways are Cell surface interactions at the vascular wall and Response to elevated platelet cytosolic Ca2+.                                            Gene Ontology (GO) annotations related to this gene include antigen binding and immunoglobulin receptor binding.                                            An important paralog of this gene is IGHA2.","                                            IGHA1 (Immunoglobulin Heavy Constant Alpha 1) is a Protein Coding gene.                                                                                        Among its related pathways are Cell surface interactions at the vascular wall and Response to elevated platelet cytosolic Ca2+.                                            Gene Ontology (GO) annotations related to this gene include antigen binding and immunoglobulin receptor binding.                                            An important paralog of this gene is IGHA2.","Constant region of immunoglobulin heavy chains. Immunoglobulins, also known as antibodies, are membrane-bound or secreted glycoproteins produced by B lymphocytes. In the recognition phase of humoral immunity, the membrane-bound immunoglobulins serve as receptors which, upon binding of a specific antigen, trigger the clonal expansion and differentiation of B lymphocytes into immunoglobulins-secreting plasma cells. Secreted immunoglobulins mediate the effector phase of humoral immunity, which results in the elimination of bound antigens (PubMed:22158414, PubMed:20176268). The antigen binding site is formed by the variable domain of one heavy chain, together with that of its associated light chain. Thus, each immunoglobulin has two antigen binding sites with remarkable affinity for a particular antigen. The variable domains are assembled by a process called V-(D)-J rearrangement and can then be subjected to somatic hypermutations which, after exposure to antigen and selection, allow affinity maturation for a particular antigen (PubMed:17576170, PubMed:20176268). Ig alpha is the major immunoglobulin class in body secretions (PubMed:2241915).
                         IGHA1_HUMAN,P01876
                         ","ENSG00000277856",174,920,2460,704,1064.5,69.7777777777778,15.2555732484076
"IGHA2","                                            IGHA2 (Immunoglobulin Heavy Constant Alpha 2 (A2m Marker)) is a Protein Coding gene.                                                                                                                                    Gene Ontology (GO) annotations related to this gene include antigen binding and immunoglobulin receptor binding.                                            An important paralog of this gene is IGHA1.","                                            IGHA2 (Immunoglobulin Heavy Constant Alpha 2 (A2m Marker)) is a Protein Coding gene.                                                                                                                                    Gene Ontology (GO) annotations related to this gene include antigen binding and immunoglobulin receptor binding.                                            An important paralog of this gene is IGHA1.","Constant region of immunoglobulin heavy chains. Immunoglobulins, also known as antibodies, are membrane-bound or secreted glycoproteins produced by B lymphocytes. In the recognition phase of humoral immunity, the membrane-bound immunoglobulins serve as receptors which, upon binding of a specific antigen, trigger the clonal expansion and differentiation of B lymphocytes into immunoglobulins-secreting plasma cells. Secreted immunoglobulins mediate the effector phase of humoral immunity, which results in the elimination of bound antigens (PubMed:22158414, PubMed:20176268). The antigen binding site is formed by the variable domain of one heavy chain, together with that of its associated light chain. Thus, each immunoglobulin has two antigen binding sites with remarkable affinity for a particular antigen. The variable domains are assembled by a process called V-(D)-J rearrangement and can then be subjected to somatic hypermutations which, after exposure to antigen and selection, allow affinity maturation for a particular antigen (PubMed:17576170, PubMed:20176268). Ig alpha is the major immunoglobulin class in body secretions (PubMed:2241915).
                         IGHA2_HUMAN,P01877
                         ","ENSG00000277856",174,920,2460,704,1064.5,69.7777777777778,15.2555732484076
"IGHD","                                            IGHD (Immunoglobulin Heavy Constant Delta) is a Protein Coding gene.                                                                                                                                    Gene Ontology (GO) annotations related to this gene include antigen binding.                                            An important paralog of this gene is IGHA2.","                                            IGHD (Immunoglobulin Heavy Constant Delta) is a Protein Coding gene.                                                                                                                                    Gene Ontology (GO) annotations related to this gene include antigen binding.                                            An important paralog of this gene is IGHA2.","Constant region of immunoglobulin heavy chains. Immunoglobulins, also known as antibodies, are membrane-bound or secreted glycoproteins produced by B lymphocytes. In the recognition phase of humoral immunity, the membrane-bound immunoglobulins serve as receptors which, upon binding of a specific antigen, trigger the clonal expansion and differentiation of B lymphocytes into immunoglobulins-secreting plasma cells. Secreted immunoglobulins mediate the effector phase of humoral immunity, which results in the elimination of bound antigens (PubMed:22158414, PubMed:20176268). The antigen binding site is formed by the variable domain of one heavy chain, together with that of its associated light chain. Thus, each immunoglobulin has two antigen binding sites with remarkable affinity for a particular antigen. The variable domains are assembled by a process called V-(D)-J rearrangement and can then be subjected to somatic hypermutations which, after exposure to antigen and selection, allow affinity maturation for a particular antigen (PubMed:17576170, PubMed:20176268). IgD is the major antigen receptor isotype on the surface of most peripheral B-cells, where it is coexpressed with IgM. The membrane-bound IgD (mIgD) induces the phosphorylation of CD79A and CD79B by the Src family of protein tyrosine kinases. Soluble IgD (sIgD) concentration in serum below those of IgG, IgA, and IgM but much higher than that of IgE. IgM and IgD molecules present on B cells have identical V regions and antigen-binding sites. After the antigen binds to the B-cell receptor, the secreted form sIgD is shut off. IgD is a potent inducer of TNF, IL1B, and IL1RN. IgD also induces release of IL6, IL10, and LIF from peripheral blood mononuclear cells. Monocytes seem to be the main producers of cytokines in vitro in the presence of IgD (PubMed:8774350, PubMed:10702483, PubMed:11282392).
                         IGHD_HUMAN,P01880
                         ","ENSG00000277856",174,920,2460,704,1064.5,69.7777777777778,15.2555732484076
"IGHE","                                            IGHE (Immunoglobulin Heavy Constant Epsilon) is a Protein Coding gene.                                            Diseases associated with IGHE include Toxocariasis and Latex Allergy.                                            Among its related pathways are RET signaling and GAB1 signalosome.                                            Gene Ontology (GO) annotations related to this gene include antigen binding.                                            An important paralog of this gene is IGHG2.","                                            IGHE (Immunoglobulin Heavy Constant Epsilon) is a Protein Coding gene.                                            Diseases associated with IGHE include Toxocariasis and Latex Allergy.                                            Among its related pathways are RET signaling and GAB1 signalosome.                                            Gene Ontology (GO) annotations related to this gene include antigen binding.                                            An important paralog of this gene is IGHG2.","Constant region of immunoglobulin heavy chains. Immunoglobulins, also known as antibodies, are membrane-bound or secreted glycoproteins produced by B lymphocytes. In the recognition phase of humoral immunity, the membrane-bound immunoglobulins serve as receptors which, upon binding of a specific antigen, trigger the clonal expansion and differentiation of B lymphocytes into immunoglobulins-secreting plasma cells. Secreted immunoglobulins mediate the effector phase of humoral immunity, which results in the elimination of bound antigens (PubMed:22158414, PubMed:20176268). The antigen binding site is formed by the variable domain of one heavy chain, together with that of its associated light chain. Thus, each immunoglobulin has two antigen binding sites with remarkable affinity for a particular antigen. The variable domains are assembled by a process called V-(D)-J rearrangement and can then be subjected to somatic hypermutations which, after exposure to antigen and selection, allow affinity maturation for a particular antigen (PubMed:17576170, PubMed:20176268).
                         IGHE_HUMAN,P01854
                         ","ENSG00000277856",174,920,2460,704,1064.5,69.7777777777778,15.2555732484076
"IGHG1","                                            IGHG1 (Immunoglobulin Heavy Constant Gamma 1 (G1m Marker)) is a Protein Coding gene.                                            Diseases associated with IGHG1 include Leukemia, Chronic Lymphocytic and Heavy Chain Deposition Disease.                                            Among its related pathways are Interleukin-4 and 13 signaling and IL4-mediated signaling events.                                            Gene Ontology (GO) annotations related to this gene include antigen binding.                                            An important paralog of this gene is IGHG3.","                                            IGHG1 (Immunoglobulin Heavy Constant Gamma 1 (G1m Marker)) is a Protein Coding gene.                                            Diseases associated with IGHG1 include Leukemia, Chronic Lymphocytic and Heavy Chain Deposition Disease.                                            Among its related pathways are Interleukin-4 and 13 signaling and IL4-mediated signaling events.                                            Gene Ontology (GO) annotations related to this gene include antigen binding.                                            An important paralog of this gene is IGHG3.","Constant region of immunoglobulin heavy chains. Immunoglobulins, also known as antibodies, are membrane-bound or secreted glycoproteins produced by B lymphocytes. In the recognition phase of humoral immunity, the membrane-bound immunoglobulins serve as receptors which, upon binding of a specific antigen, trigger the clonal expansion and differentiation of B lymphocytes into immunoglobulins-secreting plasma cells. Secreted immunoglobulins mediate the effector phase of humoral immunity, which results in the elimination of bound antigens (PubMed:22158414, PubMed:20176268). The antigen binding site is formed by the variable domain of one heavy chain, together with that of its associated light chain. Thus, each immunoglobulin has two antigen binding sites with remarkable affinity for a particular antigen. The variable domains are assembled by a process called V-(D)-J rearrangement and can then be subjected to somatic hypermutations which, after exposure to antigen and selection, allow affinity maturation for a particular antigen (PubMed:17576170, PubMed:20176268).
                         IGHG1_HUMAN,P01857
                         ","ENSG00000277856",174,920,2460,704,1064.5,69.7777777777778,15.2555732484076
"IGHG2","                                            IGHG2 (Immunoglobulin Heavy Constant Gamma 2 (G2m Marker)) is a Protein Coding gene.                                            Diseases associated with IGHG2 include Immunoglobulin Kappa Light Chain Deficiency.                                            Among its related pathways are Creation of C4 and C2 activators and Regulation of actin dynamics for phagocytic cup formation.                                            Gene Ontology (GO) annotations related to this gene include antigen binding.                                            An important paralog of this gene is IGHG4.","                                            IGHG2 (Immunoglobulin Heavy Constant Gamma 2 (G2m Marker)) is a Protein Coding gene.                                            Diseases associated with IGHG2 include Immunoglobulin Kappa Light Chain Deficiency.                                            Among its related pathways are Creation of C4 and C2 activators and Regulation of actin dynamics for phagocytic cup formation.                                            Gene Ontology (GO) annotations related to this gene include antigen binding.                                            An important paralog of this gene is IGHG4.","Constant region of immunoglobulin heavy chains. Immunoglobulins, also known as antibodies, are membrane-bound or secreted glycoproteins produced by B lymphocytes. In the recognition phase of humoral immunity, the membrane-bound immunoglobulins serve as receptors which, upon binding of a specific antigen, trigger the clonal expansion and differentiation of B lymphocytes into immunoglobulins-secreting plasma cells. Secreted immunoglobulins mediate the effector phase of humoral immunity, which results in the elimination of bound antigens (PubMed:22158414, PubMed:20176268). The antigen binding site is formed by the variable domain of one heavy chain, together with that of its associated light chain. Thus, each immunoglobulin has two antigen binding sites with remarkable affinity for a particular antigen. The variable domains are assembled by a process called V-(D)-J rearrangement and can then be subjected to somatic hypermutations which, after exposure to antigen and selection, allow affinity maturation for a particular antigen (PubMed:17576170, PubMed:20176268).
                         IGHG2_HUMAN,P01859
                         ","ENSG00000277856",174,920,2460,704,1064.5,69.7777777777778,15.2555732484076
"IGHG3","                                            IGHG3 (Immunoglobulin Heavy Constant Gamma 3 (G3m Marker)) is a Protein Coding gene.                                            Diseases associated with IGHG3 include Heavy Chain Disease and Gamma Heavy Chain Disease.                                            Among its related pathways are IL4-mediated signaling events and Creation of C4 and C2 activators.                                            Gene Ontology (GO) annotations related to this gene include antigen binding.                                            An important paralog of this gene is IGHG1.","                                            IGHG3 (Immunoglobulin Heavy Constant Gamma 3 (G3m Marker)) is a Protein Coding gene.                                            Diseases associated with IGHG3 include Heavy Chain Disease and Gamma Heavy Chain Disease.                                            Among its related pathways are IL4-mediated signaling events and Creation of C4 and C2 activators.                                            Gene Ontology (GO) annotations related to this gene include antigen binding.                                            An important paralog of this gene is IGHG1.","Constant region of immunoglobulin heavy chains. Immunoglobulins, also known as antibodies, are membrane-bound or secreted glycoproteins produced by B lymphocytes. In the recognition phase of humoral immunity, the membrane-bound immunoglobulins serve as receptors which, upon binding of a specific antigen, trigger the clonal expansion and differentiation of B lymphocytes into immunoglobulins-secreting plasma cells. Secreted immunoglobulins mediate the effector phase of humoral immunity, which results in the elimination of bound antigens (PubMed:22158414, PubMed:20176268). The antigen binding site is formed by the variable domain of one heavy chain, together with that of its associated light chain. Thus, each immunoglobulin has two antigen binding sites with remarkable affinity for a particular antigen. The variable domains are assembled by a process called V-(D)-J rearrangement and can then be subjected to somatic hypermutations which, after exposure to antigen and selection, allow affinity maturation for a particular antigen (PubMed:17576170, PubMed:20176268).
                         IGHG3_HUMAN,P01860
                         ","ENSG00000277856",174,920,2460,704,1064.5,69.7777777777778,15.2555732484076
"IGHG4","                                            IGHG4 (Immunoglobulin Heavy Constant Gamma 4 (G4m Marker)) is a Protein Coding gene.                                                                                        Among its related pathways are Interleukin-4 and 13 signaling and Creation of C4 and C2 activators.                                            Gene Ontology (GO) annotations related to this gene include antigen binding.                                            An important paralog of this gene is IGHG2.","                                            IGHG4 (Immunoglobulin Heavy Constant Gamma 4 (G4m Marker)) is a Protein Coding gene.                                                                                        Among its related pathways are Interleukin-4 and 13 signaling and Creation of C4 and C2 activators.                                            Gene Ontology (GO) annotations related to this gene include antigen binding.                                            An important paralog of this gene is IGHG2.","Constant region of immunoglobulin heavy chains. Immunoglobulins, also known as antibodies, are membrane-bound or secreted glycoproteins produced by B lymphocytes. In the recognition phase of humoral immunity, the membrane-bound immunoglobulins serve as receptors which, upon binding of a specific antigen, trigger the clonal expansion and differentiation of B lymphocytes into immunoglobulins-secreting plasma cells. Secreted immunoglobulins mediate the effector phase of humoral immunity, which results in the elimination of bound antigens (PubMed:22158414, PubMed:20176268). The antigen binding site is formed by the variable domain of one heavy chain, together with that of its associated light chain. Thus, each immunoglobulin has two antigen binding sites with remarkable affinity for a particular antigen. The variable domains are assembled by a process called V-(D)-J rearrangement and can then be subjected to somatic hypermutations which, after exposure to antigen and selection, allow affinity maturation for a particular antigen (PubMed:17576170, PubMed:20176268).
                         IGHG4_HUMAN,P01861
                         ","ENSG00000277856",174,920,2460,704,1064.5,69.7777777777778,15.2555732484076
"IGHM","Immunoglobulins (Ig) are the antigen recognition molecules of B cells. An Ig molecule is made up of 2 identical heavy chains and 2 identical light chains (see MIM 147200) joined by disulfide bonds so that each heavy chain is linked to a light chain and the 2 heavy chains are linked together. Each Ig heavy chain has an N-terminal variable (V) region containing the antigen-binding site and a C-terminal constant (C) region, encoded by an individual C region gene, that determines the isotype of the antibody and provides effector or signaling functions. The heavy chain V region is encoded by 1 each of 3 types of genes: V genes (see MIM 147070), joining (J) genes (see MIM 147010), and diversity (D) genes (see MIM 146910). The C region genes are clustered downstream of the V region genes within the heavy chain locus on chromosome 14. The IGHM gene encodes the C region of the mu heavy chain, which defines the IgM isotype. Naive B cells express the transmembrane forms of IgM and IgD (see IGHD; MIM 1471770) on their surface. During an antibody response, activated B cells can switch to the expression of individual downstream heavy chain C region genes by a process of somatic recombination known as isotype switching. In addition, secreted Ig forms that act as antibodies can be produced by alternative RNA processing of the heavy chain C region sequences. Although the membrane forms of all Ig isotypes are monomeric, secreted IgM forms pentamers, and occasionally hexamers, in plasma (summary by Janeway et al., 2005).[supplied by OMIM, Aug 2010]","                                            IGHM (Immunoglobulin Heavy Constant Mu) is a Protein Coding gene.                                            Diseases associated with IGHM include Agammaglobulinemia 1, Autosomal Recessive and Agammaglobulinemia, Non-Bruton Type.                                            Among its related pathways are Immune response Fc epsilon RI pathway and Immune response Lectin induced complement pathway.                                            Gene Ontology (GO) annotations related to this gene include single-stranded DNA binding and phosphatidylcholine binding.                                            An important paralog of this gene is IGHA2.","Constant region of immunoglobulin heavy chains. Immunoglobulins, also known as antibodies, are membrane-bound or secreted glycoproteins produced by B lymphocytes. In the recognition phase of humoral immunity, the membrane-bound immunoglobulins serve as receptors which, upon binding of a specific antigen, trigger the clonal expansion and differentiation of B lymphocytes into immunoglobulins-secreting plasma cells. Secreted immunoglobulins mediate the effector phase of humoral immunity, which results in the elimination of bound antigens (PubMed:22158414, PubMed:20176268). The antigen binding site is formed by the variable domain of one heavy chain, together with that of its associated light chain. Thus, each immunoglobulin has two antigen binding sites with remarkable affinity for a particular antigen. The variable domains are assembled by a process called V-(D)-J rearrangement and can then be subjected to somatic hypermutations which, after exposure to antigen and selection, allow affinity maturation for a particular antigen (PubMed:17576170, PubMed:20176268). IgM antibodies play an important role in primary defense mechanisms. They have been shown to be involved in early recognition of external invaders like bacteria and viruses, cellular waste and modified self, as well as in recognition and elimination of precancerous and cancerous lesions. The membrane-bound form is found in the majority of normal B-cells alongside with IgD. Membrane-bound IgM induces the phosphorylation of CD79A and CD79B by the Src family of protein tyrosine kinases. It may cause death of cells by apoptosis. It is also found in soluble form, which represents about 30% of the total serum immunoglobulins where it is found almost exclusively as a homopentamer. After the antigen binds to the B-cell receptor, the secreted form is secreted in large amounts (PubMed:3137579, PubMed:16895553).
                         IGHM_HUMAN,P01871
                         ","ENSG00000277856",174,920,2460,704,1064.5,69.7777777777778,15.2555732484076
"IGHV1-69","                                            IGHV1-69 (Immunoglobulin Heavy Variable 1-69) is a Protein Coding gene.                                                                                                                                                                                An important paralog of this gene is IGHV1-69D.","                                            IGHV1-69 (Immunoglobulin Heavy Variable 1-69) is a Protein Coding gene.                                                                                                                                                                                An important paralog of this gene is IGHV1-69D.","V region of the variable domain of immunoglobulin heavy chains that participates in the antigen recognition (PubMed:24600447). Immunoglobulins, also known as antibodies, are membrane-bound or secreted glycoproteins produced by B lymphocytes. In the recognition phase of humoral immunity, the membrane-bound immunoglobulins serve as receptors which, upon binding of a specific antigen, trigger the clonal expansion and differentiation of B lymphocytes into immunoglobulins-secreting plasma cells. Secreted immunoglobulins mediate the effector phase of humoral immunity, which results in the elimination of bound antigens (PubMed:22158414, PubMed:20176268). The antigen binding site is formed by the variable domain of one heavy chain, together with that of its associated light chain. Thus, each immunoglobulin has two antigen binding sites with remarkable affinity for a particular antigen. The variable domains are assembled by a process called V-(D)-J rearrangement and can then be subjected to somatic hypermutations which, after exposure to antigen and selection, allow affinity maturation for a particular antigen (PubMed:20176268, PubMed:17576170).
                         HV169_HUMAN,P01742
                         ","ENSG00000277856",174,920,2460,704,1064.5,69.7777777777778,15.2555732484076
"IGHV3-23","IGHV3-23 belongs to a cluster of approximately 40 functional variable (V) genes in the immunoglobulin (Ig) heavy chain locus on chromosome 14. For background information on the Ig heavy chain and the V gene cluster, see (MIM 147070).[supplied by OMIM, Apr 2008]","                                            IGHV3-23 (Immunoglobulin Heavy Variable 3-23) is a Protein Coding gene.                                                                                        Among its related pathways are Immune response Fc epsilon RI pathway and Immune response Role of DAP12 receptors in NK cells.                                            Gene Ontology (GO) annotations related to this gene include antigen binding.                                            An important paralog of this gene is IGHV3-64.","V region of the variable domain of immunoglobulin heavy chains that participates in the antigen recognition (PubMed:24600447). Immunoglobulins, also known as antibodies, are membrane-bound or secreted glycoproteins produced by B lymphocytes. In the recognition phase of humoral immunity, the membrane-bound immunoglobulins serve as receptors which, upon binding of a specific antigen, trigger the clonal expansion and differentiation of B lymphocytes into immunoglobulins-secreting plasma cells. Secreted immunoglobulins mediate the effector phase of humoral immunity, which results in the elimination of bound antigens (PubMed:22158414, PubMed:20176268). The antigen binding site is formed by the variable domain of one heavy chain, together with that of its associated light chain. Thus, each immunoglobulin has two antigen binding sites with remarkable affinity for a particular antigen. The variable domains are assembled by a process called V-(D)-J rearrangement and can then be subjected to somatic hypermutations which, after exposure to antigen and selection, allow affinity maturation for a particular antigen (PubMed:20176268, PubMed:17576170).
                         HV323_HUMAN,P01764
                         ","ENSG00000277856",174,920,2460,704,1064.5,69.7777777777778,15.2555732484076
"IGHV3-48","                                            IGHV3-48 (Immunoglobulin Heavy Variable 3-48) is a Protein Coding gene.                                                                                                                                                                                An important paralog of this gene is IGHV3-21.","                                            IGHV3-48 (Immunoglobulin Heavy Variable 3-48) is a Protein Coding gene.                                                                                                                                                                                An important paralog of this gene is IGHV3-21.","V region of the variable domain of immunoglobulin heavy chains that participates in the antigen recognition (PubMed:24600447). Immunoglobulins, also known as antibodies, are membrane-bound or secreted glycoproteins produced by B lymphocytes. In the recognition phase of humoral immunity, the membrane-bound immunoglobulins serve as receptors which, upon binding of a specific antigen, trigger the clonal expansion and differentiation of B lymphocytes into immunoglobulins-secreting plasma cells. Secreted immunoglobulins mediate the effector phase of humoral immunity, which results in the elimination of bound antigens (PubMed:22158414, PubMed:20176268). The antigen binding site is formed by the variable domain of one heavy chain, together with that of its associated light chain. Thus, each immunoglobulin has two antigen binding sites with remarkable affinity for a particular antigen. The variable domains are assembled by a process called V-(D)-J rearrangement and can then be subjected to somatic hypermutations which, after exposure to antigen and selection, allow affinity maturation for a particular antigen (PubMed:20176268, PubMed:17576170).
                         HV348_HUMAN,P01763
                         ","ENSG00000277856",174,920,2460,704,1064.5,69.7777777777778,15.2555732484076
"IGHV3-7","                                            IGHV3-7 (Immunoglobulin Heavy Variable 3-7) is a Protein Coding gene.                                                                                                                                                                                An important paralog of this gene is IGHV3-48.","                                            IGHV3-7 (Immunoglobulin Heavy Variable 3-7) is a Protein Coding gene.                                                                                                                                                                                An important paralog of this gene is IGHV3-48.","V region of the variable domain of immunoglobulin heavy chains that participates in the antigen recognition (PubMed:24600447). Immunoglobulins, also known as antibodies, are membrane-bound or secreted glycoproteins produced by B lymphocytes. In the recognition phase of humoral immunity, the membrane-bound immunoglobulins serve as receptors which, upon binding of a specific antigen, trigger the clonal expansion and differentiation of B lymphocytes into immunoglobulins-secreting plasma cells. Secreted immunoglobulins mediate the effector phase of humoral immunity, which results in the elimination of bound antigens (PubMed:22158414, PubMed:20176268). The antigen binding site is formed by the variable domain of one heavy chain, together with that of its associated light chain. Thus, each immunoglobulin has two antigen binding sites with remarkable affinity for a particular antigen. The variable domains are assembled by a process called V-(D)-J rearrangement and can then be subjected to somatic hypermutations which, after exposure to antigen and selection, allow affinity maturation for a particular antigen (PubMed:20176268, PubMed:17576170).
                         HV307_HUMAN,P01780
                         ","ENSG00000277856",174,920,2460,704,1064.5,69.7777777777778,15.2555732484076
"IGHV4-31","                                            IGHV4-31 (Immunoglobulin Heavy Variable 4-31) is a Protein Coding gene.                                                                                                                                                                                An important paralog of this gene is IGHV4-39.","                                            IGHV4-31 (Immunoglobulin Heavy Variable 4-31) is a Protein Coding gene.                                                                                                                                                                                An important paralog of this gene is IGHV4-39.","V region of the variable domain of immunoglobulin heavy chains that participates in the antigen recognition (PubMed:24600447). Immunoglobulins, also known as antibodies, are membrane-bound or secreted glycoproteins produced by B lymphocytes. In the recognition phase of humoral immunity, the membrane-bound immunoglobulins serve as receptors which, upon binding of a specific antigen, trigger the clonal expansion and differentiation of B lymphocytes into immunoglobulins-secreting plasma cells. Secreted immunoglobulins mediate the effector phase of humoral immunity, which results in the elimination of bound antigens (PubMed:22158414, PubMed:20176268). The antigen binding site is formed by the variable domain of one heavy chain, together with that of its associated light chain. Thus, each immunoglobulin has two antigen binding sites with remarkable affinity for a particular antigen. The variable domains are assembled by a process called V-(D)-J rearrangement and can then be subjected to somatic hypermutations which, after exposure to antigen and selection, allow affinity maturation for a particular antigen (PubMed:20176268, PubMed:17576170).
                         HV431_HUMAN,P0DP07
                         ","ENSG00000277856",174,920,2460,704,1064.5,69.7777777777778,15.2555732484076
"IGHV4-34","                                            IGHV4-34 (Immunoglobulin Heavy Variable 4-34) is a Protein Coding gene.                                            Diseases associated with IGHV4-34 include Hairy Cell Leukemia.                                                                                                                                    An important paralog of this gene is IGHV4-39.","                                            IGHV4-34 (Immunoglobulin Heavy Variable 4-34) is a Protein Coding gene.                                            Diseases associated with IGHV4-34 include Hairy Cell Leukemia.                                                                                                                                    An important paralog of this gene is IGHV4-39.","V region of the variable domain of immunoglobulin heavy chains that participates in the antigen recognition (PubMed:24600447). Immunoglobulins, also known as antibodies, are membrane-bound or secreted glycoproteins produced by B lymphocytes. In the recognition phase of humoral immunity, the membrane-bound immunoglobulins serve as receptors which, upon binding of a specific antigen, trigger the clonal expansion and differentiation of B lymphocytes into immunoglobulins-secreting plasma cells. Secreted immunoglobulins mediate the effector phase of humoral immunity, which results in the elimination of bound antigens (PubMed:22158414, PubMed:20176268). The antigen binding site is formed by the variable domain of one heavy chain, together with that of its associated light chain. Thus, each immunoglobulin has two antigen binding sites with remarkable affinity for a particular antigen. The variable domains are assembled by a process called V-(D)-J rearrangement and can then be subjected to somatic hypermutations which, after exposure to antigen and selection, allow affinity maturation for a particular antigen (PubMed:20176268, PubMed:17576170).
                         HV434_HUMAN,P06331
                         ","ENSG00000277856",174,920,2460,704,1064.5,69.7777777777778,15.2555732484076
"IGHV7-81","                                            IGHV7-81 (Immunoglobulin Heavy Variable 7-81 (Non-Functional)) is a Protein Coding gene.                                                                                                                                                                                An important paralog of this gene is IGHV7-4-1.","                                            IGHV7-81 (Immunoglobulin Heavy Variable 7-81 (Non-Functional)) is a Protein Coding gene.                                                                                                                                                                                An important paralog of this gene is IGHV7-4-1.","Probable non-functional open reading frame (ORF) of V region of the variable domain of immunoglobulin heavy chains (PubMed:24600447). Non-functional ORF generally cannot participate in the synthesis of a productive immunoglobulin chain due to altered V-(D)-J or switch recombination and/or splicing site (at mRNA level) and/or conserved amino acid change (protein level) (PubMed:9619395). Immunoglobulins, also known as antibodies, are membrane-bound or secreted glycoproteins produced by B lymphocytes. In the recognition phase of humoral immunity, the membrane-bound immunoglobulins serve as receptors which, upon binding of a specific antigen, trigger the clonal expansion and differentiation of B lymphocytes into immunoglobulins-secreting plasma cells. Secreted immunoglobulins mediate the effector phase of humoral immunity, which results in the elimination of bound antigens (PubMed:22158414, PubMed:20176268). The antigen binding site is formed by the variable domain of one heavy chain, together with that of its associated light chain. Thus, each immunoglobulin has two antigen binding sites with remarkable affinity for a particular antigen. The variable domains are assembled by a process called V-(D)-J rearrangement and can then be subjected to somatic hypermutations which, after exposure to antigen and selection, allow affinity maturation for a particular antigen (PubMed:20176268, PubMed:17576170).
                         HV781_HUMAN,A0A0B4J1V7
                         ","ENSG00000277856",174,920,2460,704,1064.5,69.7777777777778,15.2555732484076
"IGKC","                                            IGKC (Immunoglobulin Kappa Constant) is a Protein Coding gene.                                            Diseases associated with IGKC include Immunoglobulin Kappa Light Chain Deficiency and Plasma Cell Tumor.                                            Among its related pathways are Immune response Fc epsilon RI pathway and Immune response Role of DAP12 receptors in NK cells.                                            Gene Ontology (GO) annotations related to this gene include antigen binding.                                            An important paralog of this gene is IGLC3.","                                            IGKC (Immunoglobulin Kappa Constant) is a Protein Coding gene.                                            Diseases associated with IGKC include Immunoglobulin Kappa Light Chain Deficiency and Plasma Cell Tumor.                                            Among its related pathways are Immune response Fc epsilon RI pathway and Immune response Role of DAP12 receptors in NK cells.                                            Gene Ontology (GO) annotations related to this gene include antigen binding.                                            An important paralog of this gene is IGLC3.","Constant region of immunoglobulin light chains. Immunoglobulins, also known as antibodies, are membrane-bound or secreted glycoproteins produced by B lymphocytes. In the recognition phase of humoral immunity, the membrane-bound immunoglobulins serve as receptors which, upon binding of a specific antigen, trigger the clonal expansion and differentiation of B lymphocytes into immunoglobulins-secreting plasma cells. Secreted immunoglobulins mediate the effector phase of humoral immunity, which results in the elimination of bound antigens (PubMed:22158414, PubMed:20176268). The antigen binding site is formed by the variable domain of one heavy chain, together with that of its associated light chain. Thus, each immunoglobulin has two antigen binding sites with remarkable affinity for a particular antigen. The variable domains are assembled by a process called V-(D)-J rearrangement and can then be subjected to somatic hypermutations which, after exposure to antigen and selection, allow affinity maturation for a particular antigen (PubMed:17576170, PubMed:20176268).
                         IGKC_HUMAN,P01834
                         ","ENSG00000277856",174,920,2460,704,1064.5,69.7777777777778,15.2555732484076
